ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 3276, 0, 267, 360, 0
2048, 3276, 0, 267, 360, 0
2048, 3276, 0, 268, 360, 0
2048, 3276, 0, 268, 360, 8
2048, 3276, 0, 268, 360, 8
2048, 3276, 0, 269, 360, 8
2048, 3276, 0, 271, 360, 17
2048, 3276, 0, 272, 360, 35
2048, 3276, 0, 274, 360, 44
2048, 3276, 0, 278, 360, 61
2048, 3276, 0, 285, 360, 97
2048, 3276, 0, 288, 360, 158
2048, 3276, 0, 293, 360, 185
2048, 3276, 0, 300, 360, 220
2048, 3276, 0, 303, 360, 26
2048, 3276, 0, 311, 360, 52
2048, 3276, 0, 317, 360, 114
2048, 3276, 0, 327, 360, 149
2048, 3276, 0, 336, 360, 229
2048, 3276, 0, 346, 360, 34
2048, 3276, 0, 353, 360, 87
2048, 3276, 0, 360, 360, 87
2048, 3276, 0, 6, 360, 122
2048, 3276, 0, 11, 360, 239
2048, 3276, 0, 18, 360, 221
2048, 3276, 0, 26, 360, 0
2048, 3276, 0, 32, 360, 0
2048, 3276, 0, 39, 360, 0
2048, 3276, 0, 42, 360, 230
2048, 3276, 0, 50, 360, 177
2048, 3276, 0, 57, 360, 159
2048, 3276, 0, 65, 360, 159
2048, 3276, 0, 75, 360, 168
2048, 3276, 0, 81, 360, 96
2048, 3276, 0, 87, 360, 105
2048, 3276, 0, 101, 360, 96
2048, 3276, 0, 108, 360, 149
2048, 3276, 0, 121, 360, 158
2048, 3276, 0, 134, 360, 211
2048, 3276, 0, 486, 360, 43
2048, 3276, 0, 147, 360, 51
2048, 3276, 0, 154, 360, 25
2048, 3276, 0, 162, 360, 16
2048, 3276, 0, 165, 360, 255
2048, 3276, 0, 166, 360, 228
2048, 3276, 0, 170, 360, 184
2048, 3276, 0, 171, 360, 96
2048, 3276, 0, 174, 360, 43
2048, 3276, 0, 174, 360, 211
2048, 3276, 0, 174, 360, 96
