ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 0, 0, 192, 324, 0
2048, 0, 0, 192, 324, 0
2048, 0, 0, 191, 324, 0
2048, 0, 0, 190, 324, 248
2048, 0, 0, 189, 324, 239
2048, 0, 0, 188, 324, 230
2048, 0, 0, 186, 324, 221
2048, 0, 0, 183, 324, 204
2048, 0, 0, 185, 324, 177
2048, 0, 0, 178, 324, 195
2048, 0, 0, 174, 324, 133
2048, 0, 0, 176, 324, 98
2048, 0, 0, 164, 324, 115
2048, 0, 0, 160, 324, 18
2048, 0, 0, 160, 324, 248
2048, 0, 0, 150, 324, 1
2048, 0, 0, 138, 324, 177
2048, 0, 0, 131, 324, 89
2048, 0, 0, 124, 324, 54
2048, 0, 0, 111, 324, 231
2048, 0, 0, 99, 324, 178
2048, 0, 0, 92, 324, 107
2048, 0, 0, 83, 324, 28
2048, 0, 0, 75, 324, 54
2048, 0, 0, 62, 324, 19
2048, 0, 0, 54, 324, 160
2048, 0, 0, 46, 324, 178
2048, 0, 0, 38, 324, 213
2048, 0, 0, 36, 324, 204
2048, 0, 0, 26, 324, 248
2048, 0, 0, 19, 324, 19
2048, 0, 0, 9, 324, 63
2048, 0, 0, 7, 324, 37
2048, 0, 0, 2, 324, 98
2048, 0, 0, 354, 324, 125
2048, 0, 0, 346, 324, 61
2048, 0, 0, 506, 324, 61
2048, 0, 0, 336, 324, 54
2048, 0, 0, 323, 324, 114
2048, 0, 0, 324, 324, 17
2048, 0, 0, 321, 324, 114
2048, 0, 0, 310, 324, 149
2048, 0, 0, 301, 324, 141
2048, 0, 0, 294, 324, 79
2048, 0, 0, 285, 324, 61
2048, 0, 0, 281, 324, 160
2048, 0, 0, 273, 324, 195
2048, 0, 0, 263, 324, 202
2048, 0, 0, 257, 324, 125
2048, 0, 0, 252, 324, 186
2048, 0, 0, 244, 324, 134
2048, 0, 0, 242, 324, 89
2048, 0, 0, 232, 324, 169
2048, 0, 0, 230, 324, 160
2048, 0, 0, 222, 324, 204
2048, 0, 0, 210, 324, 213
2048, 0, 0, 194, 324, 142
2048, 0, 0, 187, 324, 72
2048, 0, 0, 179, 324, 98
2048, 0, 0, 167, 324, 81
2048, 0, 0, 157, 324, 19
2048, 0, 0, 145, 324, 1
2048, 0, 0, 134, 324, 169
2048, 0, 0, 123, 324, 160
2048, 0, 0, 116, 324, 81
2048, 0, 0, 111, 324, 90
2048, 0, 0, 101, 324, 151
2048, 0, 0, 98, 324, 204
2048, 0, 0, 95, 324, 240
2048, 0, 0, 89, 324, 28
2048, 0, 0, 84, 324, 81
2048, 0, 0, 77, 324, 125
2048, 0, 0, 68, 324, 169
2048, 0, 0, 61, 324, 186
2048, 0, 0, 53, 324, 222
2048, 0, 0, 44, 324, 213
2048, 0, 0, 35, 324, 178
2048, 0, 0, 24, 324, 186
2048, 0, 0, 16, 324, 116
2048, 0, 0, 6, 324, 72
2048, 0, 0, 358, 324, 37
2048, 0, 0, 351, 324, 159
2048, 0, 0, 343, 324, 159
2048, 0, 0, 337, 324, 168
2048, 0, 0, 329, 324, 177
2048, 0, 0, 328, 324, 177
2048, 0, 0, 319, 324, 248
2048, 0, 0, 312, 324, 248
2048, 0, 0, 298, 324, 26
2048, 0, 0, 291, 324, 230
2048, 0, 0, 283, 324, 0
2048, 0, 0, 278, 324, 107
2048, 0, 0, 271, 324, 125
2048, 0, 0, 260, 324, 134
2048, 0, 0, 248, 324, 89
2048, 0, 0, 240, 324, 54
2048, 0, 0, 234, 324, 248
2048, 0, 0, 228, 324, 19
2048, 0, 0, 217, 324, 28
2048, 0, 0, 217, 324, 54
2048, 0, 0, 200, 324, 116
2048, 0, 0, 186, 324, 37
2048, 0, 0, 182, 324, 213
2048, 0, 0, 176, 324, 240
2048, 0, 0, 168, 324, 28
2048, 0, 0, 163, 324, 63
2048, 0, 0, 157, 324, 89
2048, 0, 0, 144, 324, 89
2048, 0, 0, 141, 324, 28
2048, 0, 0, 134, 324, 98
2048, 0, 0, 126, 324, 37
2048, 0, 0, 117, 324, 116
2048, 0, 0, 110, 324, 160
2048, 0, 0, 99, 324, 134
2048, 0, 0, 85, 324, 89
2048, 0, 0, 72, 324, 37
2048, 0, 0, 59, 324, 222
2048, 0, 0, 53, 324, 160
2048, 0, 0, 49, 324, 222
2048, 0, 0, 42, 324, 213
2048, 0, 0, 38, 324, 213
2048, 0, 0, 27, 324, 248
2048, 0, 0, 19, 324, 231
2048, 0, 0, 12, 324, 222
2048, 0, 0, 3, 324, 1
2048, 0, 0, 352, 324, 45
2048, 0, 0, 345, 324, 212
2048, 0, 0, 333, 324, 8
2048, 0, 0, 326, 324, 212
2048, 0, 0, 317, 324, 186
2048, 0, 0, 316, 324, 168
2048, 0, 0, 306, 324, 195
2048, 0, 0, 303, 324, 204
2048, 0, 0, 295, 324, 248
2048, 0, 0, 282, 324, 239
2048, 0, 0, 274, 324, 204
2048, 0, 0, 271, 324, 81
2048, 0, 0, 258, 324, 116
2048, 0, 0, 254, 324, 107
2048, 0, 0, 251, 324, 134
2048, 0, 0, 235, 324, 186
2048, 0, 0, 229, 324, 54
2048, 0, 0, 216, 324, 89
2048, 0, 0, 210, 324, 1
2048, 0, 0, 197, 324, 19
2048, 0, 0, 192, 324, 19
2048, 0, 0, 179, 324, 45
2048, 0, 0, 175, 324, 213
2048, 0, 0, 166, 324, 37
2048, 0, 0, 164, 324, 248
2048, 0, 0, 154, 324, 1
2048, 0, 0, 506, 324, 54
2048, 0, 0, 144, 324, 186
2048, 0, 0, 135, 324, 134
2048, 0, 0, 128, 324, 107
2048, 0, 0, 120, 324, 160
2048, 0, 0, 111, 324, 134
2048, 0, 0, 100, 324, 169
2048, 0, 0, 94, 324, 107
2048, 0, 0, 79, 324, 134
2048, 0, 0, 79, 324, 19
2048, 0, 0, 66, 324, 107
2048, 0, 0, 59, 324, 170
2048, 0, 0, 51, 324, 19
2048, 0, 0, 42, 324, 28
2048, 0, 0, 32, 324, 10
2048, 0, 0, 25, 324, 248
2048, 0, 0, 16, 324, 10
2048, 0, 0, 7, 324, 28
2048, 0, 0, 358, 324, 1
2048, 0, 0, 350, 324, 204
2048, 0, 0, 346, 324, 133
2048, 0, 0, 334, 324, 212
2048, 0, 0, 325, 324, 168
2048, 0, 0, 318, 324, 159
2048, 0, 0, 309, 324, 177
2048, 0, 0, 302, 324, 186
2048, 0, 0, 286, 324, 186
2048, 0, 0, 277, 324, 124
2048, 0, 0, 263, 324, 124
2048, 0, 0, 258, 324, 187
2048, 0, 0, 251, 324, 213
2048, 0, 0, 244, 324, 187
2048, 0, 0, 243, 324, 231
2048, 0, 0, 235, 324, 45
2048, 0, 0, 215, 324, 37
2048, 0, 0, 207, 324, 196
2048, 0, 0, 204, 324, 187
2048, 0, 0, 190, 324, 45
2048, 0, 0, 180, 324, 1
2048, 0, 0, 170, 324, 37
2048, 0, 0, 161, 324, 248
2048, 0, 0, 153, 324, 231
2048, 0, 0, 148, 324, 222
2048, 0, 0, 141, 324, 187
2048, 0, 0, 133, 324, 196
2048, 0, 0, 126, 324, 45
2048, 0, 0, 120, 324, 54
2048, 0, 0, 114, 324, 28
2048, 0, 0, 106, 324, 98
