ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2457, 0, 285, 211, 286, 211, 8
2048, 2457, 0, 290, 211, 52
2048, 2457, 0, 292, 211, 44
2048, 2457, 0, 299, 211, 97
2048, 2457, 0, 306, 211, 114
2048, 2457, 0, 318, 211, 202
2048, 2457, 0, 326, 211, 202
2048, 2457, 0, 330, 211, 185
2048, 2457, 0, 330, 211, 88
2048, 2457, 0, 331, 211, 35
2048, 2457, 0, 332, 211, 8
2048, 2457, 0, 333, 211, 26
2048, 2457, 0, 342, 211, 70
2048, 2457, 0, 346, 211, 61
2048, 2457, 0, 2, 211, 72
2048, 2457, 0, 27, 211, 221
2048, 2457, 0, 61, 211, 133
2048, 2457, 0, 103, 211, 211
2048, 2457, 0, 135, 211, 113
2048, 2457, 0, 140, 211, 105
2048, 2457, 0, 130, 211, 132
2048, 2457, 0, 109, 211, 45
2048, 2457, 0, 92, 211, 116
2048, 2457, 0, 93, 211, 195
2048, 2457, 0, 109, 211, 248
2048, 2457, 0, 136, 211, 87
2048, 2457, 0, 157, 211, 255
2048, 2457, 0, 164, 211, 158
2048, 2457, 0, 159, 211, 185
2048, 2457, 0, 149, 211, 177
2048, 2457, 0, 145, 211, 98
2048, 2457, 0, 146, 211, 151
2048, 2457, 0, 158, 211, 79
2048, 2457, 0, 167, 211, 167
2048, 2457, 0, 183, 211, 26
2048, 2457, 0, 194, 211, 26
2048, 2457, 0, 197, 211, 229
2048, 2457, 0, 197, 211, 79
2048, 2457, 0, 196, 211, 17
2048, 2457, 0, 196, 211, 239
2048, 2457, 0, 197, 211, 8
2048, 2457, 0, 202, 211, 52
2048, 2457, 0, 208, 211, 97
2048, 2457, 0, 217, 211, 149
2048, 2457, 0, 228, 211, 185
2048, 2457, 0, 239, 211, 211
2048, 2457, 0, 244, 211, 211
2048, 2457, 0, 246, 211, 141
2048, 2457, 0, 246, 211, 44
2048, 2457, 0, 247, 211, 17
2048, 2457, 0, 249, 211, 17
2048, 2457, 0, 256, 211, 79
2048, 2457, 0, 265, 211, 132
2048, 2457, 0, 270, 211, 149
2048, 2457, 0, 280, 211, 158
2048, 2457, 0, 287, 211, 185
2048, 2457, 0, 289, 211, 149
2048, 2457, 0, 291, 211, 79
2048, 2457, 0, 293, 211, 35
2048, 2457, 0, 294, 211, 35
2048, 2457, 0, 300, 211, 52
2048, 2457, 0, 311, 211, 141
2048, 2457, 0, 316, 211, 149
2048, 2457, 0, 324, 211, 202
2048, 2457, 0, 337, 211, 202
2048, 2457, 0, 344, 211, 202
2048, 2457, 0, 345, 211, 141
2048, 2457, 0, 345, 211, 44
2048, 2457, 0, 345, 211, 0
2048, 2457, 0, 344, 211, 239
2048, 2457, 0, 344, 211, 230
2048, 2457, 0, 357, 211, 114
2048, 2457, 0, 6, 211, 36
2048, 2457, 0, 42, 211, 27
2048, 2457, 0, 77, 211, 177
2048, 2457, 0, 100, 211, 167
2048, 2457, 0, 120, 211, 78
2048, 2457, 0, 133, 211, 140
2048, 2457, 0, 134, 211, 26
2048, 2457, 0, 128, 211, 44
2048, 2457, 0, 115, 211, 115
2048, 2457, 0, 112, 211, 80
2048, 2457, 0, 114, 211, 204
2048, 2457, 0, 128, 211, 88
2048, 2457, 0, 144, 211, 229
2048, 2457, 0, 167, 211, 158
2048, 2457, 0, 173, 211, 96
2048, 2457, 0, 172, 211, 194
2048, 2457, 0, 167, 211, 248
2048, 2457, 0, 163, 211, 177
2048, 2457, 0, 163, 211, 186
2048, 2457, 0, 162, 211, 230
2048, 2457, 0, 170, 211, 17
2048, 2457, 0, 176, 211, 54
2048, 2457, 0, 188, 211, 194
2048, 2457, 0, 204, 211, 220
2048, 2457, 0, 210, 211, 8
2048, 2457, 0, 216, 211, 194
2048, 2457, 0, 217, 211, 88
2048, 2457, 0, 218, 211, 52
2048, 2457, 0, 219, 211, 17
2048, 2457, 0, 219, 211, 35
2048, 2457, 0, 225, 211, 44
2048, 2457, 0, 234, 211, 114
2048, 2457, 0, 235, 211, 123
2048, 2457, 0, 252, 211, 202
2048, 2457, 0, 263, 211, 167
2048, 2457, 0, 270, 211, 8
2048, 2457, 0, 271, 211, 158
2048, 2457, 0, 271, 211, 52
2048, 2457, 0, 271, 211, 8
2048, 2457, 0, 273, 211, 8
2048, 2457, 0, 279, 211, 44
2048, 2457, 0, 288, 211, 114
2048, 2457, 0, 293, 211, 149
2048, 2457, 0, 297, 211, 158
2048, 2457, 0, 302, 211, 97
2048, 2457, 0, 303, 211, 52
2048, 2457, 0, 310, 211, 88
