ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 4095, 0, 93, 311, 0
2048, 4095, 0, 93, 311, 0
2048, 4095, 0, 96, 311, 0
2048, 4095, 0, 98, 311, 0
2048, 4095, 0, 101, 311, 0
2048, 4095, 0, 105, 311, 0
2048, 4095, 0, 110, 311, 0
2048, 4095, 0, 112, 311, 0
2048, 4095, 0, 117, 311, 0
2048, 4095, 0, 121, 311, 0
2048, 4095, 0, 124, 311, 0
2048, 4095, 0, 130, 311, 0
2048, 4095, 0, 136, 311, 0
2048, 4095, 0, 143, 311, 0
2048, 4095, 0, 148, 311, 0
2048, 4095, 0, 153, 311, 0
2048, 4095, 0, 159, 311, 0
2048, 4095, 0, 169, 311, 0
2048, 4095, 0, 177, 311, 0
2048, 4095, 0, 184, 311, 0
2048, 4095, 0, 189, 311, 0
2048, 4095, 0, 197, 311, 0
2048, 4095, 0, 205, 311, 0
2048, 4095, 0, 220, 311, 0
2048, 4095, 0, 225, 311, 0
2048, 4095, 0, 237, 311, 0
2048, 4095, 0, 241, 311, 0
2048, 4095, 0, 237, 311, 0
2048, 4095, 0, 242, 311, 0
2048, 4095, 0, 249, 311, 0
2048, 4095, 0, 252, 311, 0
2048, 4095, 0, 259, 311, 0
2048, 4095, 0, 272, 311, 0
2048, 4095, 0, 279, 311, 0
2048, 4095, 0, 282, 311, 0
2048, 4095, 0, 289, 311, 0
2048, 4095, 0, 293, 311, 0
2048, 4095, 0, 304, 311, 0
2048, 4095, 0, 311, 311, 0
2048, 4095, 0, 323, 311, 0
2048, 4095, 0, 333, 311, 0
2048, 4095, 0, 349, 311, 0
2048, 4095, 0, 354, 311, 0
2048, 4095, 0, 0, 311, 0
2048, 4095, 0, 6, 311, 0
2048, 4095, 0, 13, 311, 0
2048, 4095, 0, 23, 311, 0
2048, 4095, 0, 30, 311, 0
2048, 4095, 0, 44, 311, 0
2048, 4095, 0, 48, 311, 0
2048, 4095, 0, 55, 311, 0
2048, 4095, 0, 64, 311, 0
2048, 4095, 0, 73, 311, 0
2048, 4095, 0, 83, 311, 0
2048, 4095, 0, 92, 311, 0
2048, 4095, 0, 96, 311, 0
2048, 4095, 0, 102, 311, 0
2048, 4095, 0, 105, 311, 0
2048, 4095, 0, 116, 311, 0
2048, 4095, 0, 118, 311, 0
2048, 4095, 0, 125, 311, 0
2048, 4095, 0, 135, 311, 0
2048, 4095, 0, 144, 311, 0
2048, 4095, 0, 150, 311, 0
2048, 4095, 0, 152, 311, 0
2048, 4095, 0, 160, 311, 0
2048, 4095, 0, 177, 311, 0
2048, 4095, 0, 185, 311, 0
2048, 4095, 0, 192, 311, 0
2048, 4095, 0, 207, 311, 0
2048, 4095, 0, 218, 311, 0
2048, 4095, 0, 224, 311, 0
2048, 4095, 0, 240, 311, 0
2048, 4095, 0, 247, 311, 0
2048, 4095, 0, 255, 311, 0
2048, 4095, 0, 262, 311, 0
2048, 4095, 0, 272, 311, 0
2048, 4095, 0, 273, 311, 0
2048, 4095, 0, 281, 311, 0
2048, 4095, 0, 294, 311, 0
2048, 4095, 0, 309, 311, 0
2048, 4095, 0, 321, 311, 0
2048, 4095, 0, 328, 311, 0
2048, 4095, 0, 335, 311, 0
2048, 4095, 0, 337, 311, 0
2048, 4095, 0, 342, 311, 0
2048, 4095, 0, 349, 311, 0
2048, 4095, 0, 353, 311, 0
2048, 4095, 0, 357, 311, 0
2048, 4095, 0, 13, 311, 0
2048, 4095, 0, 16, 311, 0
2048, 4095, 0, 21, 311, 0
2048, 4095, 0, 36, 311, 0
2048, 4095, 0, 36, 311, 0
2048, 4095, 0, 40, 311, 0
2048, 4095, 0, 51, 311, 0
2048, 4095, 0, 58, 311, 0
2048, 4095, 0, 70, 311, 0
2048, 4095, 0, 78, 311, 0
2048, 4095, 0, 80, 311, 0
2048, 4095, 0, 93, 311, 0
2048, 4095, 0, 100, 311, 0
2048, 4095, 0, 127, 311, 0
2048, 4095, 0, 111, 311, 0
2048, 4095, 0, 117, 311, 0
2048, 4095, 0, 125, 311, 0
2048, 4095, 0, 132, 311, 0
2048, 4095, 0, 141, 311, 0
2048, 4095, 0, 146, 311, 0
2048, 4095, 0, 161, 311, 0
2048, 4095, 0, 172, 311, 0
2048, 4095, 0, 184, 311, 0
2048, 4095, 0, 193, 311, 0
2048, 4095, 0, 206, 311, 0
2048, 4095, 0, 208, 311, 0
2048, 4095, 0, 224, 311, 0
2048, 4095, 0, 247, 311, 0
2048, 4095, 0, 265, 311, 0
2048, 4095, 0, 276, 311, 0
2048, 4095, 0, 280, 311, 0
2048, 4095, 0, 302, 311, 0
2048, 4095, 0, 314, 311, 0
2048, 4095, 0, 330, 311, 0
2048, 4095, 0, 338, 311, 0
2048, 4095, 0, 349, 311, 0
2048, 4095, 0, 355, 311, 0
2048, 4095, 0, 5, 311, 0
2048, 4095, 0, 10, 311, 0
2048, 4095, 0, 17, 311, 0
2048, 4095, 0, 32, 311, 0
2048, 4095, 0, 44, 311, 0
2048, 4095, 0, 51, 311, 0
2048, 4095, 0, 61, 311, 0
2048, 4095, 0, 68, 311, 0
2048, 4095, 0, 75, 311, 0
2048, 4095, 0, 76, 311, 0
2048, 4095, 0, 82, 311, 0
2048, 4095, 0, 91, 311, 0
2048, 4095, 0, 93, 311, 0
2048, 4095, 0, 113, 311, 0
2048, 4095, 0, 120, 311, 0
2048, 4095, 0, 131, 311, 0
2048, 4095, 0, 139, 311, 0
2048, 4095, 0, 146, 311, 0
2048, 4095, 0, 147, 311, 0
2048, 4095, 0, 148, 311, 0
2048, 4095, 0, 155, 311, 0
2048, 4095, 0, 167, 311, 0
2048, 4095, 0, 171, 311, 0
2048, 4095, 0, 177, 311, 0
2048, 4095, 0, 190, 311, 0
2048, 4095, 0, 193, 311, 0
2048, 4095, 0, 209, 311, 0
2048, 4095, 0, 214, 311, 0
2048, 4095, 0, 225, 311, 0
2048, 4095, 0, 235, 311, 0
2048, 4095, 0, 238, 311, 0
2048, 4095, 0, 247, 311, 0
2048, 4095, 0, 256, 311, 0
2048, 4095, 0, 263, 311, 0
2048, 4095, 0, 267, 311, 0
2048, 4095, 0, 274, 311, 0
2048, 4095, 0, 280, 311, 0
2048, 4095, 0, 292, 311, 0
2048, 4095, 0, 299, 311, 0
2048, 4095, 0, 302, 311, 0
2048, 4095, 0, 304, 311, 0
2048, 4095, 0, 308, 311, 0
2048, 4095, 0, 314, 311, 0
2048, 4095, 0, 326, 311, 0
2048, 4095, 0, 330, 311, 0
2048, 4095, 0, 343, 311, 0
2048, 4095, 0, 351, 311, 0
2048, 4095, 0, 0, 311, 0
2048, 4095, 0, 6, 311, 0
2048, 4095, 0, 16, 311, 0
2048, 4095, 0, 22, 311, 0
2048, 4095, 0, 30, 311, 0
2048, 4095, 0, 35, 311, 0
2048, 4095, 0, 41, 311, 0
2048, 4095, 0, 49, 311, 0
2048, 4095, 0, 56, 311, 0
2048, 4095, 0, 60, 311, 0
2048, 4095, 0, 68, 311, 0
2048, 4095, 0, 79, 311, 0
2048, 4095, 0, 90, 311, 0
2048, 4095, 0, 96, 311, 0
2048, 4095, 0, 103, 311, 0
2048, 4095, 0, 104, 311, 0
2048, 4095, 0, 111, 311, 0
2048, 4095, 0, 118, 311, 0
2048, 4095, 0, 130, 311, 0
2048, 4095, 0, 151, 311, 0
