ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2048, 0, 298, 183, 0
2048, 4095, 0, 298, 183, 0
2048, 4095, 0, 298, 183, 0
2048, 4095, 0, 298, 183, 0
2048, 4095, 0, 299, 183, 0
2048, 4095, 0, 300, 183, 8
2048, 4095, 0, 305, 183, 17
2048, 4095, 0, 307, 183, 61
2048, 4095, 0, 308, 183, 79
2048, 4095, 0, 317, 183, 88
2048, 4095, 0, 317, 183, 167
2048, 4095, 0, 326, 183, 167
2048, 4095, 0, 336, 183, 246
2048, 4095, 0, 496, 183, 79
2048, 4095, 0, 343, 183, 1
2048, 4095, 0, 350, 183, 132
2048, 4095, 0, 357, 183, 184
2048, 4095, 0, 358, 183, 202
2048, 4095, 0, 0, 183, 193
2048, 4095, 0, 13, 183, 54
2048, 4095, 0, 24, 183, 89
2048, 4095, 0, 41, 183, 186
2048, 4095, 0, 50, 183, 0
2048, 4095, 0, 59, 183, 248
2048, 4095, 0, 69, 183, 148
2048, 4095, 0, 83, 183, 97
2048, 4095, 0, 88, 183, 158
2048, 4095, 0, 95, 183, 141
2048, 4095, 0, 99, 183, 194
2048, 4095, 0, 107, 183, 105
2048, 4095, 0, 113, 183, 60
2048, 4095, 0, 121, 183, 16
2048, 4095, 0, 122, 183, 193
2048, 4095, 0, 130, 183, 122
2048, 4095, 0, 139, 183, 114
2048, 4095, 0, 151, 183, 105
2048, 4095, 0, 156, 183, 87
2048, 4095, 0, 168, 183, 87
2048, 4095, 0, 167, 183, 131
2048, 4095, 0, 178, 183, 87
2048, 4095, 0, 186, 183, 114
2048, 4095, 0, 192, 183, 131
2048, 4095, 0, 200, 183, 114
2048, 4095, 0, 215, 183, 175
2048, 4095, 0, 222, 183, 237
2048, 4095, 0, 229, 183, 219
2048, 4095, 0, 227, 183, 175
2048, 4095, 0, 231, 183, 114
2048, 4095, 0, 234, 183, 43
2048, 4095, 0, 237, 183, 78
2048, 4095, 0, 248, 183, 8
2048, 4095, 0, 259, 183, 34
2048, 4095, 0, 265, 183, 78
2048, 4095, 0, 274, 183, 61
2048, 4095, 0, 282, 183, 8
2048, 4095, 0, 289, 183, 17
2048, 4095, 0, 297, 183, 17
2048, 4095, 0, 303, 183, 105
2048, 4095, 0, 311, 183, 122
2048, 4095, 0, 320, 183, 167
2048, 4095, 0, 328, 183, 219
2048, 4095, 0, 337, 183, 193
2048, 4095, 0, 344, 183, 175
2048, 4095, 0, 349, 183, 184
2048, 4095, 0, 353, 183, 149
2048, 4095, 0, 4, 183, 114
2048, 4095, 0, 11, 183, 0
2048, 4095, 0, 7, 183, 248
2048, 4095, 0, 360, 183, 159
2048, 4095, 0, 10, 183, 176
2048, 4095, 0, 15, 183, 36
2048, 4095, 0, 22, 183, 10
2048, 4095, 0, 28, 183, 248
2048, 4095, 0, 28, 183, 239
2048, 4095, 0, 31, 183, 195
2048, 4095, 0, 37, 183, 186
2048, 4095, 0, 49, 183, 35
2048, 4095, 0, 56, 183, 79
2048, 4095, 0, 64, 183, 176
2048, 4095, 0, 71, 183, 159
2048, 4095, 0, 76, 183, 25
2048, 4095, 0, 78, 183, 25
2048, 4095, 0, 87, 183, 237
2048, 4095, 0, 97, 183, 8
2048, 4095, 0, 102, 183, 96
2048, 4095, 0, 108, 183, 114
2048, 4095, 0, 109, 183, 114
2048, 4095, 0, 118, 183, 17
2048, 4095, 0, 121, 183, 34
2048, 4095, 0, 136, 183, 246
2048, 4095, 0, 149, 183, 61
2048, 4095, 0, 160, 183, 131
2048, 4095, 0, 166, 183, 211
2048, 4095, 0, 178, 183, 184
2048, 4095, 0, 186, 183, 202
2048, 4095, 0, 186, 183, 228
2048, 4095, 0, 194, 183, 175
2048, 4095, 0, 192, 183, 237
2048, 4095, 0, 206, 183, 140
2048, 4095, 0, 215, 183, 237
2048, 4095, 0, 219, 183, 184
2048, 4095, 0, 226, 183, 105
2048, 4095, 0, 234, 183, 70
2048, 4095, 0, 241, 183, 87
2048, 4095, 0, 250, 183, 43
2048, 4095, 0, 257, 183, 52
2048, 4095, 0, 264, 183, 114
2048, 4095, 0, 268, 183, 105
2048, 4095, 0, 281, 183, 158
2048, 4095, 0, 287, 183, 149
2048, 4095, 0, 295, 183, 122
2048, 4095, 0, 301, 183, 158
2048, 4095, 0, 308, 183, 149
2048, 4095, 0, 324, 183, 140
2048, 4095, 0, 330, 183, 219
2048, 4095, 0, 340, 183, 193
2048, 4095, 0, 348, 183, 219
2048, 4095, 0, 357, 183, 228
2048, 4095, 0, 12, 183, 16
2048, 4095, 0, 29, 183, 141
