ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 2048, 0, 223, 359, 0
2048, 3072, 0, 223, 359, 0
2048, 3072, 0, 223, 359, 0
2048, 3072, 0, 224, 359, 0
2048, 3072, 0, 224, 359, 8
2048, 3072, 0, 225, 359, 8
2048, 3072, 0, 481, 359, 17
2048, 3072, 0, 226, 359, 18
2048, 3072, 0, 227, 359, 26
2048, 3072, 0, 229, 359, 35
2048, 3072, 0, 232, 359, 52
2048, 3072, 0, 235, 359, 79
2048, 3072, 0, 242, 359, 105
2048, 3072, 0, 248, 359, 167
2048, 3072, 0, 254, 359, 211
2048, 3072, 0, 261, 359, 8
2048, 3072, 0, 264, 359, 61
2048, 3072, 0, 270, 359, 87
2048, 3072, 0, 276, 359, 132
2048, 3072, 0, 281, 359, 176
2048, 3072, 0, 288, 359, 202
2048, 3072, 0, 292, 359, 237
2048, 3072, 0, 298, 359, 246
2048, 3072, 0, 300, 359, 237
2048, 3072, 0, 306, 359, 202
2048, 3072, 0, 311, 359, 202
2048, 3072, 0, 315, 359, 184
2048, 3072, 0, 318, 359, 193
2048, 3072, 0, 321, 359, 167
2048, 3072, 0, 323, 359, 140
2048, 3072, 0, 325, 359, 114
2048, 3072, 0, 327, 359, 70
2048, 3072, 0, 329, 359, 52
2048, 3072, 0, 330, 359, 17
2048, 3072, 0, 333, 359, 8
2048, 3072, 0, 334, 359, 238
2048, 3072, 0, 335, 359, 202
2048, 3072, 0, 336, 359, 176
2048, 3072, 0, 336, 359, 158
2048, 3072, 0, 337, 359, 132
2048, 3072, 0, 339, 359, 123
2048, 3072, 0, 341, 359, 123
2048, 3072, 0, 342, 359, 123
2048, 3072, 0, 344, 359, 114
2048, 3072, 0, 347, 359, 123
2048, 3072, 0, 351, 359, 123
2048, 3072, 0, 354, 359, 149
2048, 3072, 0, 358, 359, 167
2048, 3072, 0, 1, 359, 194
2048, 3072, 0, 5, 359, 72
2048, 3072, 0, 11, 359, 98
2048, 3072, 0, 18, 359, 133
2048, 3072, 0, 23, 359, 177
2048, 3072, 0, 25, 359, 213
2048, 3072, 0, 29, 359, 213
2048, 3072, 0, 36, 359, 221
2048, 3072, 0, 45, 359, 248
2048, 3072, 0, 52, 359, 45
2048, 3072, 0, 61, 359, 71
2048, 3072, 0, 72, 359, 17
2048, 3072, 0, 69, 359, 78
2048, 3072, 0, 76, 359, 255
2048, 3072, 0, 85, 359, 255
2048, 3072, 0, 93, 359, 34
2048, 3072, 0, 100, 359, 87
2048, 3072, 0, 106, 359, 114
2048, 3072, 0, 114, 359, 105
2048, 3072, 0, 122, 359, 96
2048, 3072, 0, 134, 359, 105
2048, 3072, 0, 141, 359, 131
2048, 3072, 0, 148, 359, 96
2048, 3072, 0, 155, 359, 184
2048, 3072, 0, 163, 359, 184
2048, 3072, 0, 165, 359, 175
2048, 3072, 0, 178, 359, 122
2048, 3072, 0, 187, 359, 175
2048, 3072, 0, 192, 359, 202
2048, 3072, 0, 200, 359, 175
2048, 3072, 0, 205, 359, 175
2048, 3072, 0, 210, 359, 114
2048, 3072, 0, 214, 359, 96
