ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 3883, 0, 288, 240, 0
2048, 3907, 0, 288, 240, 0
2048, 3931, 0, 288, 240, 0
2048, 3954, 0, 289, 240, 0
2048, 3976, 0, 291, 240, 8
2048, 3997, 0, 292, 240, 26
2048, 4017, 0, 294, 240, 35
2048, 4035, 0, 297, 240, 52
2048, 4052, 0, 300, 240, 79
2048, 4066, 0, 305, 240, 105
2048, 4078, 0, 313, 240, 149
2048, 4087, 0, 316, 240, 220
2048, 4093, 0, 323, 240, 246
2048, 4095, 0, 330, 240, 52
2048, 4092, 0, 336, 240, 105
2048, 4085, 0, 338, 240, 140
2048, 4072, 0, 345, 240, 149
2048, 4053, 0, 353, 240, 193
2048, 4027, 0, 357, 240, 237
2048, 3994, 0, 4, 240, 246
2048, 3952, 0, 8, 240, 115
2048, 3901, 0, 15, 240, 80
2048, 3841, 0, 21, 240, 115
2048, 3771, 0, 25, 240, 107
2048, 3689, 0, 35, 240, 80
2048, 3597, 0, 38, 240, 115
2048, 3493, 0, 43, 240, 124
2048, 3378, 0, 52, 240, 107
2048, 3251, 0, 54, 240, 115
2048, 3114, 0, 60, 240, 98
2048, 2966, 0, 66, 240, 237
2048, 2810, 0, 73, 240, 255
2048, 2645, 0, 73, 240, 255
2048, 2474, 0, 79, 240, 202
2048, 2298, 0, 90, 240, 220
2048, 2119, 0, 100, 240, 229
2048, 1939, 0, 113, 240, 34
2048, 1761, 0, 120, 240, 105
2048, 1586, 0, 131, 240, 87
2048, 1416, 0, 145, 240, 167
2048, 1253, 0, 156, 240, 237
2048, 1098, 0, 170, 240, 25
2048, 952, 0, 178, 240, 87
2048, 817, 0, 187, 240, 157
2048, 693, 0, 196, 240, 184
2048, 580, 0, 203, 240, 166
2048, 478, 0, 208, 240, 140
2048, 388, 0, 211, 240, 69
2048, 309, 0, 212, 240, 34
2048, 241, 0, 211, 240, 202
2048, 183, 0, 206, 240, 70
2048, 134, 0, 199, 240, 184
2048, 94, 0, 193, 240, 255
2048, 62, 0, 188, 240, 132
2048, 38, 0, 183, 240, 8
2048, 20, 0, 167, 240, 142
2048, 8, 0, 160, 240, 195
2048, 2, 0, 150, 240, 89
2048, 0, 0, 144, 240, 231
2048, 3, 0, 136, 240, 169
2048, 10, 0, 124, 240, 107
2048, 19, 0, 121, 240, 45
2048, 32, 0, 104, 240, 81
2048, 47, 0, 95, 240, 240
2048, 63, 0, 87, 240, 204
2048, 82, 0, 79, 240, 178
2048, 102, 0, 72, 240, 248
2048, 123, 0, 62, 240, 248
2048, 146, 0, 52, 240, 248
2048, 169, 0, 46, 240, 213
2048, 193, 0, 36, 240, 231
