ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 3481, 0, 91, 46, 0
2048, 3481, 0, 98, 46, 61
2048, 3481, 0, 122, 46, 17
2048, 3481, 0, 138, 46, 140
2048, 3481, 0, 168, 46, 255
2048, 3481, 0, 190, 46, 34
2048, 3481, 0, 217, 46, 8
2048, 3481, 0, 240, 46, 34
2048, 3481, 0, 272, 46, 122
2048, 3481, 0, 295, 46, 78
2048, 3481, 0, 323, 46, 87
2048, 3481, 0, 342, 46, 52
2048, 3481, 0, 7, 46, 142
2048, 3481, 0, 28, 46, 71
2048, 3481, 0, 50, 46, 107
2048, 3481, 0, 73, 46, 255
2048, 3481, 0, 95, 46, 246
2048, 3481, 0, 113, 46, 184
2048, 3481, 0, 139, 46, 8
2048, 3481, 0, 158, 46, 202
2048, 3481, 0, 178, 46, 220
2048, 3481, 0, 209, 46, 202
2048, 3481, 0, 239, 46, 122
2048, 3481, 0, 269, 46, 140
2048, 3481, 0, 301, 46, 193
2048, 3481, 0, 337, 46, 193
2048, 3481, 0, 16, 46, 79
2048, 3481, 0, 41, 46, 248
2048, 3481, 0, 61, 46, 221
2048, 3481, 0, 79, 46, 193
2048, 3481, 0, 101, 46, 202
2048, 3481, 0, 117, 46, 184
2048, 3481, 0, 143, 46, 202
2048, 3481, 0, 168, 46, 87
2048, 3481, 0, 196, 46, 105
2048, 3481, 0, 216, 46, 34
2048, 3481, 0, 234, 46, 229
2048, 3481, 0, 248, 46, 105
2048, 3481, 0, 275, 46, 184
2048, 3481, 0, 303, 46, 17
2048, 3481, 0, 331, 46, 122
2048, 3481, 0, 357, 46, 114
2048, 3481, 0, 26, 46, 230
2048, 3481, 0, 49, 46, 159
2048, 3481, 0, 74, 46, 25
2048, 3481, 0, 94, 46, 52
2048, 3481, 0, 113, 46, 220
2048, 3481, 0, 141, 46, 220
2048, 3481, 0, 185, 46, 228
2048, 3481, 0, 213, 46, 184
2048, 3481, 0, 242, 46, 255
2048, 3481, 0, 267, 46, 87
2048, 3481, 0, 301, 46, 167
2048, 3481, 0, 340, 46, 246
2048, 3481, 0, 3, 46, 88
2048, 3481, 0, 27, 46, 115
2048, 3481, 0, 45, 46, 45
2048, 3481, 0, 66, 46, 158
2048, 3481, 0, 82, 46, 140
2048, 3481, 0, 111, 46, 237
2048, 3481, 0, 133, 46, 17
2048, 3481, 0, 153, 46, 43
2048, 3481, 0, 176, 46, 8
2048, 3481, 0, 197, 46, 229
2048, 3481, 0, 236, 46, 140
2048, 3481, 0, 268, 46, 219
2048, 3481, 0, 292, 46, 87
2048, 3481, 0, 338, 46, 211
2048, 3481, 0, 360, 46, 175
2048, 3481, 0, 20, 46, 62
2048, 3481, 0, 44, 46, 80
2048, 3481, 0, 64, 46, 255
2048, 3481, 0, 89, 46, 17
2048, 3481, 0, 119, 46, 87
2048, 3481, 0, 153, 46, 158
2048, 3481, 0, 182, 46, 228
2048, 3481, 0, 208, 46, 167
2048, 3481, 0, 246, 46, 149
2048, 3481, 0, 270, 46, 131
2048, 3481, 0, 289, 46, 25
2048, 3481, 0, 314, 46, 237
2048, 3481, 0, 342, 46, 52
2048, 3481, 0, 1, 46, 89
2048, 3481, 0, 29, 46, 159
2048, 3481, 0, 57, 46, 177
2048, 3481, 0, 78, 46, 70
2048, 3481, 0, 98, 46, 25
2048, 3481, 0, 115, 46, 193
2048, 3481, 0, 146, 46, 255
2048, 3481, 0, 170, 46, 43
2048, 3481, 0, 192, 46, 105
2048, 3481, 0, 217, 46, 8
2048, 3481, 0, 240, 46, 25
2048, 3481, 0, 260, 46, 193
2048, 3481, 0, 290, 46, 25
2048, 3481, 0, 309, 46, 43
2048, 3481, 0, 328, 46, 237
2048, 3481, 0, 341, 46, 105
2048, 3481, 0, 23, 46, 186
2048, 3481, 0, 54, 46, 17
2048, 3481, 0, 77, 46, 158
2048, 3481, 0, 106, 46, 122
2048, 3481, 0, 137, 46, 105
2048, 3481, 0, 161, 46, 87
2048, 3481, 0, 202, 46, 219
2048, 3481, 0, 224, 46, 149
2048, 3481, 0, 256, 46, 202
2048, 3481, 0, 278, 46, 52
2048, 3481, 0, 316, 46, 114
2048, 3481, 0, 342, 46, 175
2048, 3481, 0, 13, 46, 248
2048, 3481, 0, 46, 46, 8
2048, 3481, 0, 69, 46, 248
2048, 3481, 0, 97, 46, 17
2048, 3481, 0, 124, 46, 87
2048, 3481, 0, 141, 46, 202
2048, 3481, 0, 155, 46, 158
2048, 3481, 0, 183, 46, 133
2048, 3481, 0, 209, 46, 246
2048, 3481, 0, 238, 46, 78
2048, 3481, 0, 286, 46, 8
2048, 3481, 0, 311, 46, 43
2048, 3481, 0, 336, 46, 87
2048, 3481, 0, 355, 46, 255
2048, 3481, 0, 26, 46, 151
2048, 3481, 0, 62, 46, 8
