ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2457, 0, 292, 360, 26
2048, 2457, 0, 291, 360, 44
2048, 2457, 0, 291, 360, 17
2048, 2457, 0, 291, 360, 17
2048, 2457, 0, 291, 360, 17
2048, 2457, 0, 291, 360, 17
2048, 2457, 0, 291, 360, 17
2048, 2457, 0, 291, 360, 8
2048, 2457, 0, 291, 360, 8
2048, 2457, 0, 292, 360, 8
2048, 2457, 0, 292, 360, 17
2048, 2457, 0, 292, 360, 0
2048, 2457, 0, 293, 360, 8
2048, 2457, 0, 293, 360, 17
2048, 2457, 0, 294, 360, 17
2048, 2457, 0, 295, 360, 26
2048, 2457, 0, 296, 360, 35
2048, 2457, 0, 298, 360, 44
2048, 2457, 0, 299, 360, 61
2048, 2457, 0, 302, 360, 70
2048, 2457, 0, 304, 360, 88
2048, 2457, 0, 308, 360, 105
2048, 2457, 0, 311, 360, 141
2048, 2457, 0, 314, 360, 158
2048, 2457, 0, 317, 360, 185
2048, 2457, 0, 319, 360, 202
2048, 2457, 0, 321, 360, 211
2048, 2457, 0, 322, 360, 220
2048, 2457, 0, 326, 360, 211
2048, 2457, 0, 328, 360, 238
2048, 2457, 0, 331, 360, 229
2048, 2457, 0, 332, 360, 238
2048, 2457, 0, 333, 360, 211
2048, 2457, 0, 333, 360, 194
2048, 2457, 0, 334, 360, 167
2048, 2457, 0, 334, 360, 149
2048, 2457, 0, 334, 360, 132
2048, 2457, 0, 334, 360, 114
2048, 2457, 0, 334, 360, 105
2048, 2457, 0, 334, 360, 70
2048, 2457, 0, 334, 360, 52
2048, 2457, 0, 334, 360, 26
2048, 2457, 0, 334, 360, 17
2048, 2457, 0, 335, 360, 8
2048, 2457, 0, 335, 360, 17
2048, 2457, 0, 334, 360, 8
2048, 2457, 0, 335, 360, 0
2048, 2457, 0, 335, 360, 8
2048, 2457, 0, 336, 360, 8
2048, 2457, 0, 337, 360, 17
2048, 2457, 0, 338, 360, 26
2048, 2457, 0, 340, 360, 35
2048, 2457, 0, 341, 360, 52
2048, 2457, 0, 344, 360, 61
2048, 2457, 0, 347, 360, 79
2048, 2457, 0, 352, 360, 105
2048, 2457, 0, 354, 360, 158
2048, 2457, 0, 356, 360, 167
2048, 2457, 0, 0, 360, 185
2048, 2457, 0, 360, 360, 63
2048, 2457, 0, 0, 360, 202
2048, 2457, 0, 5, 360, 45
2048, 2457, 0, 8, 360, 72
2048, 2457, 0, 13, 360, 89
2048, 2457, 0, 15, 360, 107
2048, 2457, 0, 21, 360, 98
2048, 2457, 0, 30, 360, 107
2048, 2457, 0, 36, 360, 169
2048, 2457, 0, 43, 360, 204
2048, 2457, 0, 45, 360, 123
2048, 2457, 0, 51, 360, 248
2048, 2457, 0, 60, 360, 193
2048, 2457, 0, 70, 360, 229
2048, 2457, 0, 80, 360, 34
2048, 2457, 0, 87, 360, 78
2048, 2457, 0, 94, 360, 122
2048, 2457, 0, 106, 360, 131
2048, 2457, 0, 114, 360, 158
2048, 2457, 0, 121, 360, 175
2048, 2457, 0, 127, 360, 175
2048, 2457, 0, 132, 360, 211
2048, 2457, 0, 136, 360, 202
2048, 2457, 0, 138, 360, 158
2048, 2457, 0, 143, 360, 87
2048, 2457, 0, 143, 360, 43
2048, 2457, 0, 142, 360, 237
2048, 2457, 0, 140, 360, 167
2048, 2457, 0, 136, 360, 43
2048, 2457, 0, 135, 360, 194
2048, 2457, 0, 132, 360, 123
2048, 2457, 0, 128, 360, 44
2048, 2457, 0, 124, 360, 221
2048, 2457, 0, 119, 360, 151
2048, 2457, 0, 112, 360, 89
2048, 2457, 0, 108, 360, 239
2048, 2457, 0, 105, 360, 204
2048, 2457, 0, 102, 360, 186
2048, 2457, 0, 100, 360, 177
2048, 2457, 0, 99, 360, 195
2048, 2457, 0, 99, 360, 195
2048, 2457, 0, 98, 360, 221
2048, 2457, 0, 101, 360, 248
2048, 2457, 0, 102, 360, 54
2048, 2457, 0, 486, 360, 107
2048, 2457, 0, 110, 360, 16
2048, 2457, 0, 114, 360, 17
2048, 2457, 0, 120, 360, 79
2048, 2457, 0, 124, 360, 158
2048, 2457, 0, 128, 360, 211
2048, 2457, 0, 131, 360, 255
2048, 2457, 0, 133, 360, 26
2048, 2457, 0, 138, 360, 52
2048, 2457, 0, 141, 360, 70
2048, 2457, 0, 144, 360, 87
2048, 2457, 0, 146, 360, 10
2048, 2457, 0, 150, 360, 61
2048, 2457, 0, 155, 360, 61
2048, 2457, 0, 158, 360, 52
2048, 2457, 0, 161, 360, 43
2048, 2457, 0, 164, 360, 35
2048, 2457, 0, 165, 360, 35
2048, 2457, 0, 165, 360, 26
2048, 2457, 0, 166, 360, 238
2048, 2457, 0, 166, 360, 220
2048, 2457, 0, 166, 360, 194
2048, 2457, 0, 166, 360, 176
2048, 2457, 0, 166, 360, 141
2048, 2457, 0, 166, 360, 97
2048, 2457, 0, 166, 360, 70
2048, 2457, 0, 166, 360, 44
2048, 2457, 0, 165, 360, 17
2048, 2457, 0, 165, 360, 0
