ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2457, 0, 28, 311, 0
2048, 2457, 0, 28, 311, 0
2048, 2457, 0, 28, 311, 0
2048, 2457, 0, 29, 311, 0
2048, 2457, 0, 29, 311, 0
2048, 2457, 0, 29, 311, 0
2048, 2457, 0, 30, 311, 0
2048, 2457, 0, 30, 311, 0
2048, 2457, 0, 30, 311, 0
2048, 2457, 0, 32, 311, 0
2048, 2457, 0, 33, 311, 0
2048, 2457, 0, 33, 311, 0
2048, 2457, 0, 34, 311, 0
2048, 2457, 0, 34, 311, 0
2048, 2457, 0, 35, 311, 0
2048, 2457, 0, 36, 311, 0
2048, 2457, 0, 37, 311, 0
2048, 2457, 0, 37, 311, 0
2048, 2457, 0, 37, 311, 0
2048, 2457, 0, 38, 311, 0
2048, 2457, 0, 38, 311, 0
2048, 2457, 0, 39, 311, 0
2048, 2457, 0, 40, 311, 0
2048, 2457, 0, 40, 311, 0
2048, 2457, 0, 41, 311, 0
2048, 2457, 0, 41, 311, 0
2048, 2457, 0, 42, 311, 0
2048, 2457, 0, 43, 311, 0
2048, 2457, 0, 44, 311, 0
2048, 2457, 0, 45, 311, 0
2048, 2457, 0, 46, 311, 0
2048, 2457, 0, 47, 311, 0
2048, 2457, 0, 47, 311, 0
2048, 2457, 0, 48, 311, 0
2048, 2457, 0, 49, 311, 0
2048, 2457, 0, 51, 311, 0
2048, 2457, 0, 52, 311, 0
2048, 2457, 0, 53, 311, 0
2048, 2457, 0, 54, 311, 0
2048, 2457, 0, 54, 311, 0
2048, 2457, 0, 55, 311, 0
2048, 2457, 0, 56, 311, 0
2048, 2457, 0, 57, 311, 0
2048, 2457, 0, 56, 311, 0
2048, 2457, 0, 57, 311, 0
2048, 2457, 0, 58, 311, 0
2048, 2457, 0, 58, 311, 0
2048, 2457, 0, 59, 311, 0
2048, 2457, 0, 62, 311, 0
2048, 2457, 0, 63, 311, 0
2048, 2457, 0, 64, 311, 0
2048, 2457, 0, 65, 311, 0
2048, 2457, 0, 64, 0, 0
2048, 2457, 0, 65, 311, 0
2048, 2457, 0, 66, 311, 0
2048, 2457, 0, 66, 311, 0
2048, 2457, 0, 68, 311, 0
2048, 2457, 0, 69, 311, 0
2048, 2457, 0, 69, 311, 0
2048, 2457, 0, 70, 311, 0
2048, 2457, 0, 70, 311, 0
2048, 2457, 0, 71, 311, 0
2048, 2457, 0, 71, 311, 0
2048, 2457, 0, 72, 311, 0
2048, 2457, 0, 72, 311, 0
2048, 2457, 0, 73, 311, 0
2048, 2457, 0, 74, 311, 0
2048, 2457, 0, 75, 311, 0
2048, 2457, 0, 76, 311, 0
2048, 2457, 0, 77, 311, 0
2048, 2457, 0, 81, 311, 0
2048, 2457, 0, 82, 311, 0
2048, 2457, 0, 83, 311, 0
2048, 2457, 0, 85, 311, 0
