ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2048, 0, 254, 360, 0
2048, 2162, 0, 254, 360, 0
2048, 2272, 0, 254, 360, 0
2048, 2380, 0, 254, 360, 0
2048, 2484, 0, 254, 360, 0
2048, 2585, 0, 254, 360, 0
2048, 2683, 0, 254, 360, 0
2048, 2777, 0, 254, 360, 0
2048, 2868, 0, 254, 360, 0
2048, 2956, 0, 255, 360, 0
2048, 3041, 0, 255, 360, 8
2048, 3122, 0, 256, 360, 8
2048, 3200, 0, 255, 360, 17
2048, 3275, 0, 257, 360, 8
2048, 3347, 0, 262, 360, 26
2048, 3415, 0, 265, 360, 70
2048, 3480, 0, 269, 360, 97
2048, 3542, 0, 279, 360, 132
2048, 3600, 0, 285, 360, 220
2048, 3655, 0, 292, 360, 17
2048, 3707, 0, 301, 360, 70
2048, 3756, 0, 307, 360, 149
2048, 3801, 0, 322, 360, 193
2048, 3844, 0, 333, 360, 78
2048, 3882, 0, 340, 360, 158
2048, 3918, 0, 344, 360, 175
2048, 3950, 0, 353, 360, 184
2048, 3980, 0, 360, 360, 228
2048, 4005, 0, 4, 360, 202
2048, 4028, 0, 9, 360, 35
2048, 4047, 0, 16, 360, 17
2048, 4063, 0, 27, 360, 0
2048, 4076, 0, 33, 360, 44
2048, 4085, 0, 40, 360, 221
2048, 4092, 0, 40, 360, 186
2048, 4095, 0, 50, 360, 124
2048, 4094, 0, 57, 360, 177
2048, 4091, 0, 70, 360, 159
2048, 4084, 0, 77, 360, 212
2048, 4074, 0, 83, 360, 131
2048, 4060, 0, 92, 360, 140
2048, 4044, 0, 95, 360, 158
2048, 4024, 0, 108, 360, 87
2048, 4000, 0, 119, 360, 149
2048, 3974, 0, 129, 360, 184
2048, 3944, 0, 137, 360, 16
2048, 3911, 0, 139, 360, 255
2048, 3875, 0, 147, 360, 211
2048, 3835, 0, 159, 360, 167
2048, 3793, 0, 158, 360, 211
2048, 3746, 0, 163, 360, 149
2048, 3697, 0, 176, 0, 114
2048, 3645, 0, 183, 360, 202
2048, 3589, 0, 191, 360, 149
2048, 3530, 0, 198, 360, 122
2048, 3467, 0, 206, 360, 96
2048, 3401, 0, 203, 360, 96
2048, 3332, 0, 211, 360, 52
2048, 3260, 0, 216, 360, 52
2048, 3185, 0, 226, 360, 246
2048, 3106, 0, 228, 360, 87
2048, 3024, 0, 235, 360, 61
2048, 2939, 0, 242, 360, 8
2048, 2850, 0, 252, 360, 8
2048, 2758, 0, 258, 360, 25
2048, 2663, 0, 264, 360, 17
2048, 2565, 0, 273, 360, 255
2048, 2463, 0, 280, 360, 105
2048, 2358, 0, 288, 360, 96
2048, 2250, 0, 293, 360, 122
2048, 2139, 0, 296, 360, 78
