ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 2048, 0, 129, 179, 0
2048, 4095, 0, 129, 179, 0
2048, 4095, 0, 129, 179, 0
2048, 4095, 0, 129, 179, 0
2048, 4095, 0, 130, 179, 0
2048, 4095, 0, 131, 179, 8
2048, 4095, 0, 135, 179, 17
2048, 4095, 0, 139, 179, 52
2048, 4095, 0, 143, 179, 88
2048, 4095, 0, 148, 179, 123
2048, 4095, 0, 156, 179, 167
2048, 4095, 0, 161, 179, 238
2048, 4095, 0, 158, 179, 26
2048, 4095, 0, 168, 179, 255
2048, 4095, 0, 179, 179, 87
2048, 4095, 0, 185, 179, 176
2048, 4095, 0, 192, 179, 220
2048, 4095, 0, 208, 179, 246
2048, 4095, 0, 217, 179, 96
2048, 4095, 0, 219, 179, 140
2048, 4095, 0, 220, 179, 114
2048, 4095, 0, 225, 179, 52
2048, 4095, 0, 238, 179, 52
2048, 4095, 0, 252, 179, 193
2048, 4095, 0, 251, 179, 228
2048, 4095, 0, 263, 179, 122
2048, 4095, 0, 274, 179, 175
2048, 4095, 0, 277, 179, 211
2048, 4095, 0, 293, 179, 96
2048, 4095, 0, 305, 179, 158
2048, 4095, 0, 306, 179, 246
2048, 4095, 0, 316, 179, 246
2048, 4095, 0, 325, 179, 34
2048, 4095, 0, 331, 179, 255
2048, 4095, 0, 339, 179, 184
2048, 4095, 0, 346, 179, 8
2048, 4095, 0, 506, 179, 219
2048, 4095, 0, 360, 179, 45
2048, 4095, 0, 6, 179, 219
2048, 4095, 0, 15, 179, 239
2048, 4095, 0, 20, 179, 212
2048, 4095, 0, 38, 179, 248
2048, 4095, 0, 40, 179, 61
2048, 4095, 0, 42, 179, 0
2048, 4095, 0, 53, 179, 221
2048, 4095, 0, 61, 179, 248
2048, 4095, 0, 72, 179, 0
2048, 4095, 0, 81, 179, 175
2048, 4095, 0, 91, 179, 52
2048, 4095, 0, 105, 179, 237
2048, 4095, 0, 111, 179, 25
2048, 4095, 0, 117, 179, 34
2048, 4095, 0, 126, 179, 184
2048, 4095, 0, 131, 179, 246
2048, 4095, 0, 138, 179, 16
2048, 4095, 0, 144, 179, 237
2048, 4095, 0, 151, 179, 219
2048, 4095, 0, 158, 179, 184
2048, 4095, 0, 161, 179, 167
2048, 4095, 0, 174, 179, 105
2048, 4095, 0, 181, 179, 96
2048, 4095, 0, 188, 179, 105
2048, 4095, 0, 201, 179, 114
2048, 4095, 0, 202, 179, 149
2048, 4095, 0, 209, 179, 114
2048, 4095, 0, 216, 179, 114
2048, 4095, 0, 222, 179, 122
2048, 4095, 0, 239, 179, 114
2048, 4095, 0, 243, 179, 202
2048, 4095, 0, 249, 179, 211
2048, 4095, 0, 257, 179, 149
2048, 4095, 0, 264, 179, 158
2048, 4095, 0, 269, 179, 158
2048, 4095, 0, 277, 179, 87
2048, 4095, 0, 283, 179, 149
2048, 4095, 0, 291, 179, 140
2048, 4095, 0, 298, 179, 149
2048, 4095, 0, 305, 179, 158
2048, 4095, 0, 310, 179, 70
2048, 4095, 0, 320, 179, 78
2048, 4095, 0, 328, 179, 114
2048, 4095, 0, 350, 179, 114
2048, 2048, 0, 356, 179, 246
2048, 2048, 0, 2, 179, 255
2048, 2048, 0, 6, 179, 88
2048, 2048, 0, 16, 179, 70
2048, 2048, 0, 26, 179, 88
2048, 2048, 0, 42, 179, 114
2048, 2048, 0, 50, 179, 194
2048, 2048, 0, 60, 179, 220
2048, 2048, 0, 76, 179, 220
2048, 2048, 0, 85, 179, 35
2048, 2048, 0, 93, 179, 176
2048, 2048, 0, 100, 179, 194
2048, 2048, 0, 106, 179, 96
2048, 2048, 0, 112, 179, 113
2048, 2048, 0, 116, 179, 78
2048, 2048, 0, 121, 179, 25
2048, 2048, 0, 122, 179, 184
2048, 2048, 0, 122, 179, 122
2048, 2048, 0, 119, 179, 34
2048, 2048, 0, 116, 179, 123
2048, 2048, 0, 112, 179, 17
2048, 2048, 0, 107, 179, 167
2048, 2048, 0, 99, 179, 61
2048, 2048, 0, 92, 179, 195
2048, 2048, 0, 85, 179, 80
2048, 2048, 0, 77, 179, 239
2048, 2048, 0, 69, 179, 124
2048, 2048, 0, 64, 179, 45
2048, 2048, 0, 58, 179, 1
2048, 2048, 0, 49, 179, 231
2048, 2048, 0, 44, 179, 178
2048, 2048, 0, 40, 179, 169
2048, 2048, 0, 38, 179, 178
2048, 2048, 0, 37, 179, 231
2048, 2048, 0, 37, 179, 27
2048, 2048, 0, 38, 179, 89
2048, 2048, 0, 43, 179, 169
2048, 2048, 0, 47, 179, 27
2048, 2048, 0, 55, 179, 107
2048, 2048, 0, 58, 179, 230
2048, 2048, 0, 66, 179, 79
2048, 2048, 0, 74, 179, 194
2048, 2048, 0, 80, 179, 43
2048, 2048, 0, 87, 179, 114
2048, 2048, 0, 92, 179, 184
2048, 2048, 0, 98, 179, 229
2048, 2048, 0, 102, 179, 17
2048, 2048, 0, 103, 179, 8
2048, 2048, 0, 105, 179, 237
2048, 2048, 0, 105, 179, 184
2048, 2048, 0, 105, 179, 158
2048, 2048, 0, 103, 179, 87
2048, 2048, 0, 102, 179, 255
2048, 2048, 0, 98, 179, 194
2048, 2048, 0, 95, 179, 97
2048, 2048, 0, 92, 179, 26
2048, 2048, 0, 86, 179, 204
2048, 2048, 0, 83, 179, 115
2048, 2048, 0, 76, 179, 80
2048, 2048, 0, 70, 179, 1
2048, 2048, 0, 67, 179, 204
2048, 2048, 0, 61, 179, 177
2048, 2048, 0, 58, 179, 142
2048, 2048, 0, 55, 179, 124
2048, 2048, 0, 55, 179, 133
2048, 2048, 0, 53, 179, 160
2048, 2048, 0, 52, 179, 169
2048, 2048, 0, 52, 179, 213
2048, 2048, 0, 52, 179, 239
2048, 2048, 0, 53, 128, 45
2048, 2048, 0, 54, 179, 107
2048, 2048, 0, 56, 179, 142
2048, 2048, 0, 56, 179, 212
2048, 2048, 0, 58, 179, 239
2048, 2048, 0, 61, 179, 26
2048, 2048, 0, 63, 179, 52
2048, 2048, 0, 66, 179, 88
2048, 2048, 0, 69, 179, 123
2048, 2048, 0, 72, 179, 149
