ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 3436, 0, 293, 187, 248
2048, 3454, 0, 293, 187, 0
2048, 3472, 0, 292, 187, 0
2048, 3490, 0, 292, 187, 239
2048, 3506, 0, 294, 187, 8
2048, 3522, 0, 295, 187, 17
2048, 3537, 0, 298, 187, 44
2048, 3551, 0, 302, 187, 70
2048, 3564, 0, 306, 187, 97
2048, 3574, 0, 309, 187, 114
2048, 3583, 0, 314, 187, 141
2048, 3590, 0, 327, 187, 185
2048, 3595, 0, 332, 187, 43
2048, 3596, 0, 343, 187, 96
2048, 3594, 0, 350, 187, 193
2048, 3589, 0, 360, 187, 237
2048, 3579, 0, 8, 187, 61
2048, 3565, 0, 15, 187, 212
2048, 3545, 0, 22, 187, 239
2048, 3520, 0, 38, 187, 8
2048, 3488, 0, 44, 187, 123
2048, 3450, 0, 56, 187, 132
2048, 3404, 0, 70, 187, 123
2048, 3351, 0, 84, 187, 202
2048, 3290, 0, 94, 187, 229
2048, 3220, 0, 103, 187, 255
2048, 3141, 0, 112, 187, 246
2048, 3054, 0, 114, 187, 149
2048, 2958, 0, 125, 187, 105
2048, 2854, 0, 134, 187, 140
2048, 2743, 0, 139, 187, 78
2048, 2624, 0, 146, 187, 69
2048, 2499, 0, 154, 187, 25
2048, 2370, 0, 161, 187, 228
2048, 2237, 0, 170, 187, 167
2048, 2102, 0, 174, 187, 158
2048, 1966, 0, 176, 187, 114
2048, 1831, 0, 179, 187, 52
2048, 1698, 0, 181, 187, 61
2048, 1570, 0, 181, 187, 237
2048, 1446, 0, 180, 187, 158
2048, 1329, 0, 178, 187, 105
2048, 1219, 0, 172, 187, 26
2048, 1117, 0, 166, 187, 158
2048, 1023, 0, 161, 187, 44
2048, 937, 0, 161, 187, 177
2048, 860, 0, 153, 187, 142
2048, 792, 0, 145, 187, 54
2048, 732, 0, 142, 187, 213
2048, 681, 0, 137, 187, 169
2048, 637, 0, 125, 187, 124
2048, 600, 0, 115, 187, 27
2048, 570, 0, 111, 187, 213
2048, 546, 0, 100, 187, 231
2048, 527, 0, 94, 187, 186
2048, 514, 0, 80, 187, 178
2048, 505, 0, 69, 187, 54
2048, 500, 0, 64, 187, 28
2048, 499, 0, 51, 187, 54
2048, 501, 0, 40, 187, 222
2048, 506, 0, 32, 187, 169
2048, 513, 0, 25, 187, 204
2048, 523, 0, 18, 187, 231
2048, 534, 0, 13, 187, 204
2048, 547, 0, 9, 187, 1
2048, 561, 0, 4, 187, 19
2048, 576, 0, 5, 187, 98
2048, 592, 0, 3, 187, 204
2048, 609, 0, 3, 187, 231
2048, 626, 0, 2, 187, 89
2048, 644, 0, 2, 187, 177
